input,output
0.885,2.363
0.615,1.687
0.501,1.41
0.59,1.603
0.709,1.87
0.203,0.783
0.961,2.582
0.923,2.406
0.609,1.645
0.898,2.412
0.304,0.959
0.922,2.398
0.139,0.6
0.889,2.303
0.915,2.382
0.423,1.277
0.315,0.978
0.373,1.114
0.44,1.271
0.569,1.571
0.601,1.625
0.496,1.396
0.898,2.36
0.189,0.723
0.854,2.21
0.767,2.036
0.694,1.881
0.887,2.352
0.752,2.038
0.769,2.06
0.623,1.673
0.306,0.93
0.334,1.066
0.592,1.636
0.166,0.693
0.531,1.427
0.77,2.049
0.111,0.535
0.869,2.304
0.18,0.667
0.309,1.001
0.531,1.422
0.059,0.509
0.215,0.784
0.888,2.388
0.537,1.492
0.211,0.81
0.699,1.903
0.477,1.36
0.532,1.452
0.851,2.247
0.939,2.498
0.948,2.472
0.239,0.835
0.144,0.64
0.747,1.983
0.296,0.928
0.311,1.003
0.729,1.895
0.435,1.302
0.708,1.873
0.12,0.617
0.603,1.643
0.067,0.467
0.071,0.502
0.588,1.571
0.039,0.458
0.895,2.361
0.047,0.414
0.031,0.379
0.832,2.221
0.329,1.052
0.021,0.35
0.736,2.005
0.386,1.193
0.317,1.032
0.647,1.761
0.326,0.971
0.134,0.651
0.682,1.854
0.456,1.29
0.492,1.392
0.978,2.559
0.143,0.647
0.955,2.481
0.833,2.243
0.072,0.485
0.116,0.613
0.153,0.631
0.653,1.733
0.779,2.062
0.28,0.968
0.859,2.221
0.677,1.801
0.093,0.558
0.42,1.223
0.539,1.463
0.776,2.1
0.956,2.567
0.202,0.77
