Date,Rank,State,Output
2004-03-15T12:45:32Z,E,NH,211.813359
2004-03-15T20:50:02Z,F,MO,210.2188578
2004-03-16T05:46:43Z,E,MT,210.9157927
2004-03-16T22:19:24Z,D,LA,209.3553032
2004-03-17T05:01:51Z,D,MD,205.6534115
2004-03-17T13:41:21Z,E,ME,209.5375693
2004-03-18T11:15:52Z,C,KY,209.2538717
2004-03-18T14:37:31Z,B,MO,202.5307558
2004-03-19T06:36:45Z,B,VT,200.7476075
2004-03-19T12:50:19Z,C,RI,211.191783
2004-03-19T22:26:11Z,B,VA,202.3850097
2004-03-20T06:42:13Z,F,HI,211.9479356
2004-03-20T13:48:01Z,F,WV,208.7078606
2004-03-21T09:45:47Z,B,PA,210.2725378
2004-03-22T00:01:26Z,D,WI,212.7650672
2004-03-22T11:23:16Z,B,NH,208.0282359
2004-03-22T22:59:33Z,E,MI,209.3897805
2004-03-23T10:55:42Z,A,KS,202.4640112
2004-03-23T12:03:07Z,F,AZ,207.2952473
2004-03-24T05:14:25Z,F,AK,214.2369687
2004-03-24T10:55:53Z,D,TN,201.8984444
2004-03-24T21:34:36Z,B,MI,203.8078425
2004-03-25T04:14:11Z,A,IA,203.906604
2004-03-25T19:48:14Z,A,ME,204.7208861
2004-03-26T09:09:56Z,F,AZ,208.3798205
2004-03-26T18:36:10Z,E,DE,214.601076
2004-03-26T21:27:10Z,C,RI,210.3394647
2004-03-27T13:51:39Z,E,MN,211.6676751
2004-03-28T04:26:14Z,B,OH,209.7331897
2004-03-28T18:25:35Z,A,MN,207.8622326
2004-03-28T22:19:21Z,A,IA,201.7310425
2004-03-29T11:28:53Z,B,ND,204.2315077
2004-03-30T06:21:00Z,A,DE,208.3761276
2004-03-30T09:29:33Z,C,NY,211.1536141
2004-03-31T06:22:57Z,A,PA,208.6301903
2004-03-31T19:26:33Z,C,HI,208.0799797
2004-03-31T21:30:22Z,B,VA,200.3968107
2004-04-01T20:40:13Z,D,ND,205.5273183
2004-04-02T00:03:12Z,C,AZ,203.4629439
2004-04-02T20:17:28Z,F,MS,213.392456
2004-04-03T15:39:28Z,B,RI,212.514575
2004-04-04T11:14:35Z,D,MN,211.026167
