Date,Store Number,City,Zip Code,County,Total Sales to Store (Dollars)
10/21/2016,5110,Lenox,50851,TAYLOR,$1174.81
10/26/2016,4201,Sioux City,51109,WOODBURY,$1218.25
12/21/2016,4191,Pella,50219,MARION,$296.56
12/29/2016,3877,Des Moines,50322,Polk,$7095.90
10/13/2016,9928,Cedar Rapids,52404,LINN,$19.50
10/25/2016,4641,Des Moines,50315,POLK,$513.65
11/30/2016,4345,Grinnell,50112,POWESHIEK,$1026.10
10/03/2016,4599,Des Moines,50317,POLK,$1150.22
10/27/2016,2652,Mason City,50401,CERRO GORD,$7251.41
10/07/2016,4236,Eagle Grove,50533,WRIGHT,$1919.97
10/18/2016,4535,Dubuque,52001,DUBUQUE,$1219.62
12/21/2016,4070,Belle Plaine,52208,BENTON,$2472.21
11/11/2016,4318,Red Oak,51566,MONTGOMERY,$1634.16
10/06/2016,5146,West Des Moines,50265,POLK,$1713.32
11/07/2016,4146,Waverly,50677,BREMER,$1210.97
11/15/2016,4799,Des Moines,50317,POLK,$1369.74
12/16/2016,4626,Council Bluffs,51501,POTTAWATTA,$306.38
12/16/2016,2657,Bedford,50833,TAYLOR,$904.68
10/24/2016,3838,Bettendorf,52722,Iowa,$6234.08
11/21/2016,4829,Des Moines,50314,POLK,$30984.91
10/19/2016,5172,Cedar Rapids,52404,LINN,$2970.13
10/04/2016,5219,Iowa City,52240,JOHNSON,$2408.06
10/06/2016,4988,Cedar Falls,50613,BLACK HAWK,$11506.95
12/26/2016,4617,Des Moines,50317,POLK,$2526.35
11/15/2016,2588,Cedar Rapids,52403,LINN,$7424.60
11/09/2016,4202,Sioux City,51106,WOODBURY,$1491.38
11/15/2016,4359,Waukee,50263,DALLAS,$867.29
12/08/2016,2848,Ankeny,50023,Polk,$2780.23
11/15/2016,5274,Kingsley,51028,PLYMOUTH,$851.61
12/06/2016,2413,Dubuque,52001,DUBUQUE,$13716.01
11/07/2016,3882,Davenport,52802,SCOTT,$687.72
10/12/2016,4789,Bussey,50044,MARION,$1038.12
12/26/2016,3549,Fort Madison,52627,LEE,$5722.86
10/25/2016,4176,Cedar Rapids,52405,LINN,$1078.84
12/08/2016,5012,Perry,50220,Boone,$1164.73
11/16/2016,3920,Clinton,52732,CLINTON,$2037.89
12/16/2016,4455,Eldora,50627,HARDIN,$559.34
11/10/2016,3647,Clinton,52732,CLINTON,$0.00
11/02/2016,3757,Sioux City,51108,WOODBURY,$12518.28
11/08/2016,3774,Dubuque,52001,DUBUQUE,$2702.01
12/20/2016,3644,Altoona,50009,POLK,$9833.76
10/05/2016,4921,Cedar Rapids,52404,LINN,$1384.75
11/03/2016,4959,Cedar Falls,50613,BLACK HAWK,$4241.08
12/09/2016,4306,Hampton,50441,FRANKLIN,$745.92
11/22/2016,3644,Altoona,50009,POLK,$10006.86
11/28/2016,5333,Anamosa,52205,JONES,$945.95
10/21/2016,2190,Des Moines,50314,POLK,$2107.06
12/13/2016,4378,Waukee,50263,DALLAS,$2081.76
12/21/2016,4069,Ottumwa,52501,WAPELLO,$1674.97
10/17/2016,4523,Exira,50076,AUDUBON,$1312.62
10/20/2016,4917,Perry,50220,DALLAS,$331.53
12/29/2016,5203,Coon Rapids,50058,CARROLL,$2382.03
12/23/2016,2655,Clarinda,51632,PAGE,$2597.40
10/05/2016,4452,Sioux City,51105,WOODBURY,$2183.89
12/27/2016,5151,Ida Grove,51445,IDA,$4129.31
11/28/2016,3521,Council Bluffs,51501,POTTAWATTA,$3998.94
12/19/2016,4585,Farley,52046,DUBUQUE,$562.43
12/30/2016,3700,Avoca,51521,POTTAWATTA,$4945.27
10/31/2016,4283,Marion,52302,LINN,$518.21
10/28/2016,4466,Fayette,52142,FAYETTE,$1709.40
12/07/2016,3808,La Porte City,50651,BLACK HAWK,$1795.18
12/09/2016,4914,Cedar Falls,50613,BLACK HAWK,$1385.08
10/25/2016,4167,Dubuque,52001,DUBUQUE,$20674.31
11/03/2016,5116,Newton,50702,Webster,$4339.47
12/29/2016,4140,Des Moines,50313,POLK,$1322.00
10/07/2016,4529,Buffalo Center,50424,WINNEBAGO,$1461.84
10/10/2016,4229,Harlan,51537,SHELBY,$2742.23
11/28/2016,4233,Cresco,52136,HOWARD,$1122.76
10/13/2016,4404,Ankeny,50021,POLK,$708.08
10/27/2016,4205,Marshalltown,50158,MARSHALL,$1631.58
12/22/2016,4751,Davenport,52806,SCOTT,$1265.16
11/16/2016,4952,Davenport,52804,SCOTT,$1809.66
10/14/2016,4544,Osceola,50213,CLARKE,$453.61
10/21/2016,4235,Webster City,50595,HAMILTON,$2053.56
10/31/2016,4021,Fairfield,52556,JEFFERSON,$7675.02
12/05/2016,5089,Missouri Valley,51555,HARRISON,$905.27
10/21/2016,4247,Belmond,50421,WRIGHT,$1597.02
11/07/2016,5263,Rock Valley,51247,SIOUX,$3289.28
12/28/2016,5356,Cedar Rapids,52405,LINN,$1688.30
11/23/2016,4195,Toledo,52342,TAMA,$2151.86
10/17/2016,4972,Monona,52159,CLAYTON,$1042.99
12/01/2016,4751,Davenport,52806,SCOTT,$1382.46
12/16/2016,5302,Belmond,50421,WRIGHT,$1456.74
10/17/2016,5244,Cresco,52136,HOWARD,$3608.51
11/30/2016,4271,Centerville,52544,APPANOOSE,$1544.93
10/19/2016,5238,Fort Dodge,50501,WEBSTER,$2870.81
12/01/2016,2106,Cedar Falls,50613,BLACK HAWK,$15044.37
12/30/2016,3698,West Des Moines,50266,POLK,$1965.60
12/02/2016,2585,Algona,50511,KOSSUTH,$9732.52
12/30/2016,5229,Norwalk,50211,WARREN,$224.55
10/24/2016,2850,Des Moines,50313,POLK,$341.49
12/09/2016,4670,Tripoli,50676,BREMER,$238.63
12/22/2016,2106,Cedar Falls,50613,BLACK HAWK,$13229.00
11/01/2016,3944,Dubuque,52002,DUBUQUE,$3748.56
12/12/2016,4897,Burlington,52601,DES MOINES,$3055.84
12/21/2016,5105,North Liberty,52317,JOHNSON,$13276.83
10/17/2016,5001,Independence,50644,BUCHANAN,$2039.09
10/28/2016,4818,Decorah,52101,WINNESHIEK,$4554.22
11/02/2016,4508,Spencer,51301,CLAY,$1053.07
11/07/2016,3981,Sioux Center,51250,SIOUX,$4275.48
11/29/2016,2576,Storm Lake,50588,BUENA VIST,$9350.56
12/28/2016,3818,Knoxville,50138,MARION,$2749.69
12/29/2016,2535,West Des Moines,50265,POLK,$20135.86
11/21/2016,5070,Wilton,52778,MUSCATINE,$308.45
12/09/2016,4659,Conrad,50621,GRUNDY,$633.72
12/20/2016,4710,Dubuque,52002,DUBUQUE,$3122.34
12/13/2016,5067,Storm Lake,50588,BUENA VIST,$2269.09
10/24/2016,5054,Manchester,52087,Delaware,$6663.01
12/16/2016,4317,Greenfield,50849,ADAIR,$2530.87
11/07/2016,4992,Danville,52623,DES MOINES,$904.10
12/15/2016,5129,Des Moines,50321,POLK,$3281.58
12/01/2016,4942,Des Moines,50309,POLK,$565.90
12/12/2016,3803,Strawberry Point,52076,CLAYTON,$857.40
10/13/2016,4828,Marshalltown,50158,MARSHALL,$785.10
12/06/2016,5124,Johnston,50131,POLK,$5002.66
12/19/2016,5163,Mount Pleasant,52641,HENRY,$2208.41
11/07/2016,5112,Inwood,51240,LYON,$807.47
10/21/2016,3819,Decorah,52101,WINNESHIEK,$4954.06
12/08/2016,4761,Waterloo,50701,BLACK HAWK,$1663.32
11/28/2016,3690,Waterloo,50702,BLACK HAWK,$5296.72
12/28/2016,4864,Clinton,52733,CLINTON,$3933.56
12/28/2016,5013,Bettendorf,52722,SCOTT,$1326.33
12/14/2016,5307,Johnston,50131,POLK,$225.00
11/09/2016,4275,Knoxville,50138,MARION,$1299.79
11/15/2016,3696,Des Moines,50315,POLK,$3419.52
12/08/2016,3645,Windsor Heights,50311,Polk,$6765.90
12/05/2016,5249,Davenport,52803,SCOTT,$5208.26
11/14/2016,3964,Sioux Rapids,50585,BUENA VIST,$423.93
12/22/2016,4942,Des Moines,50309,POLK,$745.74
10/12/2016,3890,Cedar Rapids,52405,LINN,$1997.33
10/20/2016,4397,Ankeny,50021,POLK,$336.05
10/25/2016,5234,Dubuque,52003,DUBUQUE,$443.19
10/06/2016,5170,State Center,50247,MARSHALL,$353.35
12/26/2016,2653,Washington,52353,WASHINGTON,$6477.66
11/08/2016,4252,Monticello,52310,JONES,$1798.86
11/28/2016,4962,Davenport,52803,SCOTT,$2116.83
10/24/2016,4924,Nashua,50658,CHICKASAW,$614.22
11/07/2016,2560,Marion,52302,LINN,$10615.03
12/09/2016,4478,Des Moines,50315,POLK,$3573.77
11/21/2016,4909,Rock Valley,51247,SIOUX,$1302.66
10/21/2016,4246,Shenandoah,51601,PAGE,$1159.92
11/02/2016,5190,Walford,52351,Linn,$563.39
12/30/2016,2550,Osceola,50213,CLARKE,$978.92
10/19/2016,5147,Victor,52347,Poweshiek,$590.68
11/02/2016,4640,Davenport,52807,SCOTT,$2338.04
11/04/2016,4355,Story City,50248,STORY,$1015.05
10/13/2016,9001,Swisher,52338,JOHNSON,$171.00
11/03/2016,9902,Leclaire,52753,Scott,$552.30
12/12/2016,4051,Maquoketa,52060,JACKSON,$3455.78
12/08/2016,2515,Mason City,50401,CERRO GORD,$22443.68
10/19/2016,2609,Ames,50010,STORY,$615.19
12/22/2016,4194,Newton,50208,JASPER,$1804.36
12/05/2016,4892,Davenport,52802,SCOTT,$1072.52
11/29/2016,4831,Boone,50036,BOONE,$587.84
12/02/2016,4590,Cedar Falls,50613,BLACK HAWK,$923.00
11/14/2016,2507,Burlington,52601,DES MOINES,$5003.73
11/29/2016,4377,Des Moines,50313,POLK,$625.05
10/24/2016,3744,Dyersville,52040,DUBUQUE,$3481.27
11/28/2016,3403,Columbus Junction,52738,LOUISA,$1204.27
12/15/2016,4320,Perry,50220,Boone,$2682.53
12/27/2016,4163,Storm Lake,50588,BUENA VIST,$1105.49
12/05/2016,5081,Atlantic,50022,CASS,$692.58
10/06/2016,2592,Marshalltown,50158,MARSHALL,$1929.41
11/02/2016,4228,Vinton,52349,BENTON,$2059.50
12/01/2016,4194,Newton,50208,JASPER,$3221.47
10/13/2016,3713,Mason City,50401,CERRO GORD,$3923.99
12/28/2016,9901,Swisher,52338,Polk,$641.40
12/19/2016,3676,Greene,50636,BUTLER,$606.84
12/09/2016,4462,Buffalo Center,50424,WINNEBAGO,$861.16
12/13/2016,2552,Cedar Rapids,52404,LINN,$12629.72
12/14/2016,5202,Gilbertville,50634,BLACK HAWK,$438.42
10/31/2016,3811,Keokuk,52632,LEE,$6737.36
10/13/2016,4230,Clive,50325,POLK,$1001.48
10/18/2016,2666,Ankeny,50023,Polk,$13873.79
10/19/2016,4829,Des Moines,50314,POLK,$1492.33
10/18/2016,4077,Waterloo,50703,BLACK HAWK,$1511.62
11/29/2016,3650,Holstein,51025,IDA,$4739.35
11/16/2016,4841,Davenport,52804,SCOTT,$2679.98
12/08/2016,5138,Kellogg,50135,JASPER,$878.79
10/26/2016,5319,Davenport,52802,SCOTT,$5610.51
11/09/2016,4319,Humboldt,50548,HUMBOLDT,$1279.20
10/18/2016,2636,Des Moines,50317,POLK,$130.50
11/09/2016,4204,Clinton,52733,CLINTON,$2163.88
12/27/2016,2549,Indianola,50125,WARREN,$16617.71
12/07/2016,4861,Cedar Rapids,52404,LINN,$609.77
10/12/2016,4791,Sioux City,51106,WOODBURY,$1724.52
10/21/2016,4705,Coralville,52241,JOHNSON,$0.00
12/13/2016,4714,Indianola,50125,WARREN,$3595.32
10/24/2016,3886,Anamosa,52205,JONES,$2160.78
11/22/2016,3385,Cedar Rapids,52402,LINN,$21463.92
11/29/2016,4844,Iowa City,52240,JOHNSON,$733.03
11/09/2016,2667,Sioux City,51104,WOODBURY,$1864.32
12/01/2016,3806,West Des Moines,50266,POLK,$10526.52
12/15/2016,4185,Grinnell,50112,POWESHIEK,$4056.39
10/05/2016,2522,Spirit Lake,51360,DICKINSON,$7433.10
10/14/2016,4937,Shenandoah,51601,PAGE,$500.37
12/28/2016,2233,Spirit Lake,51360,DICKINSON,$2136.27
11/10/2016,3664,Northwood,50459,WORTH,$3308.64
11/14/2016,4153,Evansdale,50707,BLACK HAWK,$3392.14
10/19/2016,2614,Davenport,52807,SCOTT,$14698.19
10/24/2016,3484,Marcus,51035,CHEROKEE,$1369.28
11/11/2016,3721,Decorah,52101,WINNESHIEK,$11603.30
10/17/2016,5204,Burlington,52601,DES MOINES,$2206.78
12/22/2016,3806,West Des Moines,50266,POLK,$10152.48
12/14/2016,2596,Ottumwa,52501,WAPELLO,$3782.31
10/20/2016,5247,Rockwell,50469,CERRO GORD,$1169.64
11/29/2016,4299,Central City,52214,LINN,$1174.08
11/30/2016,4811,Lovilia,50150,MONROE,$1464.59
11/02/2016,3647,Clinton,52732,CLINTON,$15048.45
10/10/2016,4722,Burlington,56201,Des Moines,$841.02
10/12/2016,5227,Clinton,52732,CLINTON,$1824.64
10/25/2016,4622,Des Moines,50320,POLK,$251.21
10/17/2016,4155,Marion,52302,LINN,$1552.89
12/02/2016,2228,Winterset,50273,MADISON,$4556.24
12/16/2016,4289,Waukon,52172,ALLAMAKEE,$1346.17
11/23/2016,2596,Ottumwa,52501,WAPELLO,$1786.59
12/07/2016,3762,Windsor Heights,50322,Polk,$191.72
10/06/2016,4598,Des Moines,50317,POLK,$951.92
11/16/2016,4069,Ottumwa,52501,WAPELLO,$1608.35
12/12/2016,5338,Des Moines,50313,POLK,$429.53
